pdiff,is_away_b2b,is_home_b2b,win
3.0,47.5,47.5,4
-5.0,48.0,72.0,12
9.0,24.5,24.5,18
3.0,23.5,24.0,20
2.0,24.5,72.0,-5
4.0,24.0,72.5,18
-11.0,48.0,72.0,-9
7.0,47.0,71.5,-1
-3.0,120.0,72.0,5
-5.0,25.0,24.0,-3
3.0,23.5,72.0,2
3.0,23.5,47.5,2
-8.0,46.0,47.0,8
-16.0,47.5,23.0,25
-7.0,47.0,22.5,-11
-8.0,46.5,47.0,-11
5.0,72.5,48.0,18
5.0,48.5,48.0,14
-1.0,48.5,47.5,8
-7.0,24.5,48.0,-3
3.0,47.5,48.0,40
-5.0,47.5,48.0,13
-14.0,71.5,47.5,9
14.0,49.5,49.5,-3
3.0,24.5,72.0,28
-5.0,72.5,49.0,4
-14.0,24.5,72.0,-17
5.0,24.0,96.0,25
-2.0,49.0,72.0,15
-5.0,48.0,48.0,-2
-7.0,48.0,73.0,-20
9.0,74.0,48.5,27
-1.0,95.0,95.5,4
8.0,24.0,96.0,-2
-7.0,48.0,47.5,14
13.0,120.5,48.0,-16
10.0,23.5,48.0,8
-7.0,23.5,73.0,6
-3.0,48.5,48.0,-11
7.0,47.5,47.5,-10
-11.0,48.5,48.0,-4
-2.0,48.0,48.5,-2
-20.0,24.0,48.0,-5
-13.0,48.0,48.0,-30
11.0,48.5,47.5,3
6.0,25.0,49.5,16
2.0,48.0,48.0,13
12.0,48.5,48.0,11
0.0,48.0,48.5,6
8.0,96.0,48.0,7
0.0,24.0,48.0,-4
-5.0,48.5,48.0,-15
9.0,71.5,48.0,29
2.0,48.0,72.5,20
18.0,24.5,24.0,-10
3.0,24.5,72.5,32
3.0,23.0,48.5,15
-1.0,24.0,96.0,21
-5.0,24.0,23.5,-7
-1.0,24.0,48.0,-2
-3.0,24.0,72.0,8
9.0,23.0,24.0,2
-4.0,24.0,23.0,-5
-17.0,46.5,47.0,-30
-3.0,47.5,47.0,7
-7.0,46.5,70.5,25
10.0,22.5,46.5,2
5.0,42.0,41.5,-10
14.0,48.0,48.0,15
-15.0,25.0,48.5,-22
4.0,30.5,71.0,22
2.0,48.5,48.0,13
-8.0,47.5,47.5,6
4.0,48.0,48.0,-7
-17.0,25.0,48.0,-14
-8.0,30.0,48.0,-2
-10.0,47.5,72.0,22
-11.0,71.5,49.0,-13
0.0,49.5,49.5,13
2.0,49.0,72.5,-8
-5.0,49.0,71.5,1
4.0,24.5,48.0,15
17.0,73.0,48.0,3
1.0,25.0,49.5,9
-8.0,120.0,47.5,11
2.0,48.5,48.0,-19
-1.0,48.0,47.5,-6
-17.0,48.0,47.5,-10
-3.0,24.5,48.0,13
6.0,24.5,48.0,12
-5.0,47.5,48.0,-7
-7.0,47.5,48.0,-20
16.0,95.5,47.5,13
-1.0,24.0,96.0,29
-11.0,24.0,24.0,10
-25.0,48.0,48.0,2
-29.0,25.5,73.5,-26
-9.0,48.5,48.5,5
11.0,48.0,48.0,6
-2.0,48.0,48.5,22
10.0,48.0,46.5,14
-5.0,47.5,48.0,16
-5.0,24.0,47.0,11
6.0,47.5,48.0,-9
22.0,23.5,48.0,4
2.0,47.5,48.0,10
-6.0,47.5,48.0,12
1.0,71.5,47.5,-1
1.0,48.0,48.0,11
-21.0,23.5,24.0,-2
-19.0,23.5,48.0,-6
5.0,24.5,24.5,8
-5.0,72.5,24.0,4
-2.0,73.0,25.0,-8
-5.0,24.0,46.5,-11
5.0,24.0,24.5,-23
-10.0,23.5,48.0,7
-15.0,24.0,24.0,-7
28.0,24.0,46.5,5
-5.0,46.5,22.0,4
-10.0,43.5,43.5,-10
-14.0,41.0,41.5,-5
-11.0,47.5,47.0,-6
-7.0,42.0,42.0,5
-16.0,24.5,47.5,9
-5.0,25.0,47.5,8
7.0,48.5,48.0,2
-5.0,30.5,47.5,8
-11.0,29.0,48.0,1
-3.0,48.0,48.0,-18
0.0,49.0,72.5,5
15.0,54.0,72.0,17
-18.0,47.5,96.0,-6
5.0,48.0,96.5,-1
-13.0,24.5,79.0,-2
-3.0,47.5,95.5,26
2.0,23.5,95.5,-17
-11.0,97.0,48.5,2
9.0,96.5,48.0,2
8.0,47.5,96.0,3
-9.0,76.5,96.0,-8
-2.0,78.5,120.0,2
24.0,48.0,96.0,7
-13.0,48.5,48.5,-8
7.0,98.0,24.0,-16
-11.0,72.5,72.5,-7
-2.0,48.5,48.5,-10
16.0,49.0,48.5,-15
-20.0,48.0,47.5,12
15.0,48.0,48.0,32
0.0,23.5,96.0,-5
5.0,48.0,48.0,-6
2.0,48.5,47.5,-4
-5.0,48.0,48.0,3
-11.0,72.0,48.0,11
-4.0,47.5,48.0,-9
7.0,25.0,73.5,-5
6.0,47.5,48.0,-1
13.0,48.0,48.0,-19
14.0,24.5,24.0,39
6.0,24.5,47.5,3
7.0,24.0,47.5,27
8.0,24.0,24.5,-5
5.0,24.0,23.5,-7
-10.0,24.0,24.0,-3
4.0,24.5,72.5,13
2.0,24.0,24.5,11
-21.0,24.0,24.0,-35
-5.0,24.0,23.5,21
-11.0,24.0,71.5,13
-8.0,67.0,43.0,16
10.0,72.0,96.0,13
-5.0,95.0,96.0,11
6.0,72.0,72.0,1
5.0,72.0,72.0,19
6.0,71.5,72.0,5
-9.0,71.5,72.0,2
4.0,96.0,94.5,23
3.0,71.5,72.0,-7
-4.0,72.0,72.0,8
13.0,71.5,72.0,10
11.0,72.0,94.5,15
-4.0,95.5,95.5,-13
-9.0,24.0,23.5,-7
10.0,53.0,24.5,6
-11.0,24.5,24.5,23
-10.0,24.0,24.0,-16
-3.0,24.5,24.0,-25
-13.0,24.0,96.0,6
-7.0,52.5,95.5,-13
12.0,24.0,24.0,15
-9.0,23.5,120.0,25
6.0,24.0,96.0,3
10.0,48.0,47.5,2
4.0,49.5,49.5,14
9.0,48.0,48.0,23
-8.0,48.0,48.0,9
-10.0,48.5,48.5,10
8.0,73.0,48.5,-1
0.0,48.0,72.0,10
9.0,48.5,48.0,26
-3.0,48.5,48.0,9
3.0,48.0,48.0,-10
-3.0,22.5,48.0,19
-15.0,22.5,48.0,10
15.0,47.5,24.0,22
-1.0,48.0,48.0,-3
-10.0,47.5,48.0,-10
6.0,48.0,48.0,1
8.0,24.0,24.5,7
27.0,24.5,48.5,14
10.0,24.0,23.0,-11
0.0,24.0,72.0,6
8.0,24.5,24.0,17
-4.0,24.5,24.0,8
-3.0,23.5,24.0,29
-1.0,23.5,23.5,23
1.0,24.0,48.0,10
-4.0,23.5,48.0,-4
0.0,45.0,44.0,-7
14.0,23.0,46.5,2
-3.0,41.5,41.0,10
5.0,47.5,47.5,10
15.0,43.0,67.5,14
7.0,47.5,48.0,6
-10.0,47.5,48.0,-6
10.0,24.0,48.0,-8
-3.0,51.5,72.0,-1
-6.0,52.5,71.5,4
17.0,48.5,48.5,24
4.0,48.5,48.0,-11
-14.0,72.0,71.5,-8
-4.0,54.5,72.0,5
4.0,54.5,72.0,12
-13.0,24.5,48.5,-3
13.0,24.0,73.5,7
-6.0,24.0,73.0,9
-9.0,24.5,96.5,-15
-6.0,24.0,48.0,2
3.0,24.0,48.0,-18
-12.0,23.5,96.0,-2
3.0,24.0,96.0,11
1.0,95.5,95.5,3
10.0,120.5,48.0,9
-19.0,99.0,48.0,-24
6.0,97.0,48.5,-4
10.0,48.5,48.0,14
-1.0,72.5,24.0,19
2.0,47.5,48.0,-9
4.0,48.0,48.5,-9
11.0,48.0,48.0,2
-18.0,72.0,144.0,5
7.0,96.0,72.0,32
13.0,49.0,49.5,28
1.0,23.5,48.0,-5
3.0,48.5,48.0,-18
11.0,124.5,48.0,13
-3.0,47.5,48.0,11
-28.0,24.0,24.0,12
2.0,48.5,24.0,17
7.0,24.0,24.0,5
-2.0,23.5,23.5,-12
11.0,24.0,72.5,4
-7.0,47.5,48.0,-7
16.0,72.0,47.5,-5
-10.0,47.5,47.0,3
-7.0,44.0,44.0,-14
-8.0,43.0,43.5,4
9.0,47.0,47.0,8
5.0,22.5,45.5,23
4.0,45.5,23.0,-3
-6.0,42.0,42.0,5
-11.0,29.0,48.0,-7
-11.0,71.5,48.0,12
-13.0,48.0,48.0,-10
14.0,72.0,72.0,19
-9.0,48.5,52.0,10
0.0,54.5,72.0,15
-8.0,71.5,96.0,-9
24.0,71.5,49.0,11
6.0,71.5,72.0,-10
11.0,49.0,52.0,14
-12.0,48.5,72.0,-3
-2.0,48.0,24.0,-19
1.0,24.5,73.5,-13
13.0,24.5,24.5,25
-14.0,24.0,48.0,-9
0.0,120.5,24.5,-7
-12.0,73.5,73.5,-15
4.0,24.5,48.0,25
2.0,23.5,48.0,-13
4.0,48.0,76.5,-1
-3.0,24.5,120.0,7
8.0,73.0,24.0,-4
-4.0,47.5,78.0,10
3.0,47.5,24.0,-3
10.0,49.5,49.5,19
-13.0,48.0,48.5,6
1.0,48.5,48.0,-9
-11.0,49.0,49.5,-4
7.0,48.5,48.0,-22
-6.0,47.5,47.5,-2
-9.0,48.0,48.0,3
-3.0,48.0,72.0,-6
-11.0,48.0,48.0,7
4.0,48.0,48.0,-16
-1.0,48.0,47.5,13
-10.0,72.0,47.5,8
-12.0,72.5,48.5,8
1.0,24.0,23.5,6
0.0,24.5,48.5,45
1.0,24.0,24.0,8
-6.0,47.0,72.5,-12
-4.0,48.0,24.0,11
-4.0,23.5,46.5,6
-6.0,22.5,24.0,-4
3.0,24.0,72.0,13
16.0,23.5,23.5,-9
-4.0,45.5,47.0,-16
-5.0,42.0,41.5,-1
-6.0,42.5,66.5,4
4.0,66.0,42.0,-8
-7.0,42.0,41.5,12
-2.0,44.5,44.0,-4
-7.0,41.5,65.5,15
1.0,48.0,71.5,6
-18.0,47.5,47.0,-15
2.0,68.5,44.5,10
7.0,42.0,65.5,5
-8.0,25.0,43.0,-18
2.0,42.0,42.0,3
-3.0,72.5,54.5,13
-17.0,72.0,96.0,6
-9.0,71.5,95.5,5
-2.0,51.5,54.0,-7
2.0,54.5,52.0,-1
-10.0,49.0,24.0,-9
9.0,54.5,54.5,6
-10.0,53.0,48.5,16
-18.0,54.0,54.0,-9
10.0,53.0,51.5,-17
-8.0,24.0,73.0,18
10.0,49.0,55.0,-4
8.0,54.0,53.0,16
-3.0,54.0,54.0,1
9.0,24.5,49.0,19
-3.0,75.5,72.0,3
-1.0,48.5,48.5,-21
1.0,48.5,101.5,-5
-6.0,49.5,122.5,11
4.0,47.5,48.0,-6
4.0,48.5,48.5,-1
11.0,48.0,72.0,-21
-11.0,24.0,48.0,3
24.0,48.0,47.5,5
10.0,72.0,47.0,13
2.0,48.5,72.5,27
6.0,47.5,48.0,-8
4.0,23.5,23.5,19
11.0,24.5,72.5,-10
6.0,24.0,24.5,17
-4.0,23.0,72.0,-2
5.0,23.0,72.0,-8
3.0,23.5,48.0,-2
9.0,65.5,65.0,21
3.0,25.0,24.5,7
7.0,46.5,24.0,10
7.0,24.5,25.0,5
-2.0,64.5,42.0,-6
-10.0,47.0,47.0,-14
12.0,47.0,47.0,29
2.0,46.5,47.0,4
-10.0,25.5,47.5,-4
-4.0,47.0,47.5,-11
12.0,54.5,47.5,17
-7.0,47.5,48.0,7
4.0,48.0,48.5,5
6.0,48.5,30.5,18
-7.0,47.0,47.5,1
6.0,48.0,72.0,21
-2.0,25.0,47.5,15
12.0,72.5,24.5,8
8.0,49.5,79.0,19
-20.0,54.0,24.0,-16
-5.0,72.0,49.0,6
-5.0,24.0,95.5,-5
-9.0,49.0,71.0,-22
-4.0,24.0,48.0,-6
6.0,95.5,48.0,-11
6.0,24.0,48.0,-3
-8.0,48.5,48.0,1
0.0,47.5,48.0,2
-14.0,24.5,48.0,-5
4.0,48.0,73.0,3
2.0,23.5,48.0,8
2.0,96.5,48.5,-5
1.0,24.0,48.0,2
15.0,48.0,48.0,-2
1.0,48.0,47.5,11
-4.0,24.0,48.0,1
2.0,72.0,48.0,-3
-5.0,48.5,47.5,30
-3.0,48.5,96.0,-9
-26.0,48.0,48.5,-8
6.0,48.0,48.0,4
-3.0,48.5,48.0,20
0.0,47.5,72.0,-3
1.0,48.0,48.0,-8
19.0,48.0,47.0,16
17.0,48.5,72.5,2
14.0,47.5,48.0,6
-3.0,72.0,48.0,5
-1.0,24.0,24.0,-15
0.0,24.0,48.5,3
14.0,24.5,48.5,2
9.0,47.5,24.0,-10
-4.0,24.0,72.0,26
-10.0,24.0,72.0,18
17.0,24.0,48.0,-14
-7.0,23.5,24.0,-3
-7.0,24.0,24.0,11
-5.0,47.0,47.0,-14
-22.0,41.5,42.0,-15
6.0,23.5,47.5,8
-6.0,41.5,41.0,-2
-9.0,43.0,43.0,2
0.0,23.5,47.5,-22
0.0,72.0,48.0,10
4.0,47.5,48.0,-4
-2.0,48.5,72.0,21
-6.0,47.5,48.0,7
-24.0,30.0,47.5,9
1.0,48.0,48.0,12
6.0,48.0,48.0,-1
-2.0,71.5,54.0,27
1.0,48.5,72.0,20
9.0,49.0,48.5,7
11.0,53.0,72.0,30
5.0,55.0,53.0,5
-5.0,48.5,49.0,5
-8.0,24.0,48.0,21
0.0,24.0,24.5,-13
-6.0,23.5,48.0,17
0.0,24.0,48.0,10
4.0,96.0,72.5,12
-17.0,23.5,48.0,-1
-5.0,48.0,48.0,-2
-5.0,24.5,48.5,-24
3.0,47.5,48.0,-11
0.0,23.5,48.0,25
-8.0,48.0,48.0,9
3.0,24.0,96.0,10
-5.0,78.5,48.0,4
1.0,49.0,48.5,3
9.0,25.5,73.5,16
0.0,48.5,48.5,-12
-16.0,48.0,48.0,-11
10.0,48.5,23.5,20
6.0,48.0,48.0,7
17.0,49.0,48.5,10
7.0,47.5,72.0,11
3.0,48.0,48.0,7
-6.0,48.5,49.0,33
0.0,48.0,48.0,-1
-4.0,48.0,48.0,-6
4.0,24.0,23.5,8
3.0,24.5,72.5,1
5.0,24.5,72.0,-13
-10.0,24.0,72.0,-6
-17.0,47.5,23.5,-19
1.0,72.0,23.0,-8
7.0,72.0,46.5,-3
-5.0,23.5,24.0,-2
4.0,24.0,72.0,7
1.0,24.0,72.0,-16
-5.0,42.5,43.0,-12
-8.0,40.5,40.0,-2
-4.0,40.5,40.5,12
3.0,48.0,31.0,-7
-11.0,48.0,48.0,-5
9.0,48.0,48.0,28
10.0,48.0,48.0,-15
4.0,48.5,48.0,20
9.0,31.0,72.0,2
-4.0,47.5,48.0,6
-4.0,48.0,48.0,5
9.0,71.5,48.0,10
15.0,96.0,53.0,7
-12.0,23.5,72.0,-8
-19.0,72.0,71.5,5
-6.0,55.5,72.5,12
-12.0,24.0,72.0,-7
10.0,48.0,48.0,-2
-15.0,48.0,24.0,-12
4.0,23.5,76.5,17
8.0,24.5,96.0,16
-10.0,48.0,48.0,-2
17.0,48.0,48.0,-1
7.0,48.0,47.5,28
3.0,47.5,48.0,9
-5.0,24.0,79.0,10
-2.0,142.5,48.0,-27
7.0,73.0,48.5,15
19.0,48.0,24.0,8
-2.0,72.5,72.5,9
2.0,48.5,48.0,-14
-1.0,72.0,48.0,-8
-10.0,48.5,49.0,24
-13.0,72.5,48.0,21
-7.0,24.0,48.5,2
3.0,48.0,48.0,-7
3.0,48.0,47.5,8
8.0,48.0,48.0,2
-3.0,48.0,48.0,-1
2.0,48.0,72.0,-9
0.0,23.0,48.0,4
4.0,24.5,47.5,6
14.0,24.5,24.0,21
-12.0,24.5,48.5,-7
-18.0,24.5,24.0,15
4.0,24.0,48.0,15
-14.0,47.5,72.0,-21
-2.0,95.5,120.0,2
7.0,44.5,43.5,9
-8.0,47.0,46.5,-1
4.0,43.5,43.5,14
11.0,42.0,41.0,15
8.0,45.5,46.0,2
-8.0,46.5,47.0,-17
6.0,46.5,47.0,-13
12.0,23.0,23.0,-11
3.0,42.0,90.0,-21
3.0,25.0,47.5,12
18.0,29.0,48.0,18
2.0,25.0,48.0,26
-10.0,72.0,49.5,-1
-7.0,49.5,72.0,5
-2.0,72.5,52.0,-1
-8.0,72.0,72.0,4
6.0,54.5,54.5,19
-22.0,49.0,71.5,-6
-5.0,54.5,72.0,-25
-4.0,24.5,74.5,20
-9.0,23.5,95.5,15
11.0,24.0,48.0,-9
-5.0,24.0,48.5,19
6.0,24.0,76.5,10
-10.0,48.5,48.0,-3
-3.0,48.0,74.0,5
0.0,23.5,24.0,17
0.0,23.5,95.5,12
11.0,78.0,73.0,-7
-12.0,73.0,73.0,24
1.0,23.5,23.5,11
-7.0,75.5,48.0,1
-7.0,48.0,47.5,-3
-11.0,24.5,48.0,-6
-13.0,144.0,144.0,4
5.0,144.0,144.5,25
-10.0,144.5,144.0,-25
-18.0,143.5,143.5,-1
7.0,144.5,144.0,6
