17,117,1,109
10,115,13,112
30,94,16,114
20,103,18,95
4,104,3,96
14,115,5,126
23,103,7,129
2,121,8,101
19,111,9,106
6,115,21,92
12,105,22,102
27,118,24,111
29,111,25,115
15,85,28,98
10,102,1,92
9,96,6,88
24,84,13,124
12,93,16,101
14,101,17,108
2,122,18,124
28,122,20,95
26,114,8,110
22,124,23,115
3,104,25,112
11,114,29,117
19,89,30,109
30,104,5,109
4,103,6,114
21,116,7,103
23,91,9,111
20,105,12,108
8,87,13,81
14,119,15,128
10,118,16,112
27,108,26,92
18,105,28,114
17,107,2,112
21,119,19,123
10,130,22,114
3,116,24,106
11,119,25,105
27,96,29,78
5,88,1,103
8,116,7,122
4,96,12,95
15,112,14,95
22,95,20,108
30,103,23,94
13,117,26,107
6,97,28,99
16,89,2,101
25,103,5,95
27,104,11,94
9,102,17,91
18,112,19,110
10,121,21,118
15,106,24,111
3,98,29,96
4,76,1,87
18,101,7,128
28,101,9,114
25,111,12,102
16,98,20,81
23,116,22,130
6,99,30,113
29,95,2,100
12,96,6,100
15,103,8,96
3,95,13,105
11,121,17,128
21,131,26,116
23,108,30,116
24,92,4,126
22,108,7,121
1,105,10,109
3,101,14,107
5,111,16,129
25,104,20,85
25,93,2,116
14,107,8,117
19,95,11,100
21,98,13,103
26,98,15,104
12,104,17,99
30,104,18,98
5,89,22,102
4,119,23,99
9,81,27,97
29,94,28,104
26,104,7,101
21,106,10,121
24,92,16,108
27,94,19,86
20,104,2,105
12,101,4,108
30,83,6,108
3,121,8,120
1,106,14,77
29,88,15,94
18,101,17,116
24,102,22,84
16,112,23,102
25,115,28,117
11,100,5,108
2,103,6,120
1,107,13,97
3,118,18,132
29,106,19,94
9,89,20,102
26,94,27,104
12,100,30,99
7,114,8,116
25,103,9,123
10,95,14,112
24,109,15,100
23,98,16,103
21,104,17,96
11,113,28,107
17,90,5,100
18,103,4,108
15,106,6,103
13,109,7,90
22,113,10,119
27,91,12,99
26,112,19,115
20,94,8,110
22,98,14,107
27,116,18,91
30,109,25,116
3,99,28,104
1,91,29,84
15,96,2,116
19,113,4,122
9,102,7,96
29,94,10,115
16,108,17,114
13,108,21,120
11,118,23,104
20,128,24,97
6,120,26,111
24,98,8,116
6,120,14,108
5,101,27,109
1,96,28,104
11,102,2,98
16,118,5,96
9,103,4,118
25,112,10,128
20,94,13,101
19,114,15,121
18,99,21,96
3,89,23,95
22,107,26,100
30,93,29,114
15,83,1,95
11,109,4,125
12,112,7,105
30,100,8,116
24,116,10,123
19,92,17,103
9,125,23,111
22,84,25,121
21,85,27,93
16,104,28,112
12,75,1,104
17,109,3,100
6,114,13,90
20,90,14,87
29,108,26,99
7,107,4,96
19,107,10,125
15,81,11,130
8,119,16,124
25,94,21,128
18,104,24,107
5,109,28,107
6,85,29,94
9,81,30,124
23,114,3,131
2,98,12,103
26,106,14,98
28,107,17,89
8,110,22,116
13,87,27,108
21,130,2,109
22,99,4,107
7,98,6,99
1,118,9,114
20,85,10,121
13,122,11,106
18,114,15,108
19,123,26,108
5,96,30,117
8,98,1,116
3,102,5,118
28,101,12,94
4,109,16,106
15,86,17,96
30,99,23,94
25,110,27,118
24,69,29,103
10,130,7,112
26,108,9,115
18,111,11,116
24,95,14,90
25,117,19,112
6,109,22,103
21,111,23,97
2,91,28,105
11,97,1,109
29,85,5,92
8,101,4,93
3,103,9,115
21,115,12,111
13,102,15,113
6,101,16,122
10,79,27,87
20,89,30,99
25,120,7,132
29,94,17,85
13,105,19,109
26,88,20,80
2,120,23,105
22,100,28,105
30,117,1,102
22,96,2,107
26,102,5,109
27,88,4,91
8,91,6,124
17,91,9,92
23,75,12,91
10,109,18,104
15,103,24,97
4,105,3,100
15,100,14,107
16,113,19,99
11,107,21,111
28,79,2,91
20,115,5,107
17,104,6,113
23,103,8,104
22,102,9,118
13,98,10,114
29,89,11,87
26,104,18,113
14,107,24,119
7,103,25,109
16,88,27,112
1,122,30,101
6,95,3,104
19,84,12,92
25,94,13,96
5,94,20,106
29,91,21,113
17,90,1,101
4,105,9,112
7,120,10,128
28,109,11,112
8,116,14,105
22,97,16,108
24,94,26,116
15,104,27,110
18,132,30,129
12,110,3,120
1,112,9,95
4,115,17,91
29,93,18,84
28,115,19,91
6,107,20,93
27,92,21,111
5,89,22,111
2,102,24,99
23,105,25,108
23,105,10,117
11,101,12,104
8,90,13,105
30,101,14,88
7,111,26,133
1,102,5,100
7,97,8,88
2,90,13,114
27,101,15,87
3,99,16,110
24,116,18,121
20,91,19,99
26,93,25,105
21,119,28,100
14,75,29,123
11,106,6,100
21,82,9,88
30,94,10,102
5,98,12,96
3,105,22,139
4,100,23,85
20,89,7,91
16,100,14,102
8,109,15,105
24,94,17,105
13,99,18,79
30,111,26,120
19,92,27,100
1,97,28,105
10,103,29,96
3,87,6,107
5,103,11,100
22,114,12,94
8,95,19,101
13,117,21,119
2,109,25,116
6,110,1,108
23,91,4,100
7,98,9,89
2,109,10,106
28,99,15,95
22,110,17,113
3,91,20,105
30,106,24,99
16,112,26,106
18,85,29,98
9,94,5,90
26,115,8,106
12,115,23,102
16,93,25,110
28,95,27,102
19,106,3,87
4,103,6,112
25,111,10,136
