16,23,20,61,10,45,53,35,26,26,39,34,20,65,25,53,47,34,0,52,49,35,67,55,56,67,63,44,57,12
20,24,19,65,6,42,54,37,30,22,43,37,23,64,28,50,39,38,0,49,47,46,64,44,58,65,59,45,58,13
21,23,20,60,8,35,58,32,33,26,45,38,22,58,19,48,44,35,0,50,48,38,68,51,59,67,64,46,62,11
21,23,18,61,6,36,51,27,32,28,42,36,20,59,25,52,46,36,0,54,48,38,68,49,60,68,62,46,60,17
22,22,18,63,8,44,50,36,29,26,46,33,18,61,20,50,48,35,0,52,45,36,69,51,58,66,64,46,60,13
22,22,20,64,8,41,53,35,35,23,48,34,21,62,25,49,47,40,0,51,49,33,65,47,53,73,57,44,59,9
21,31,21,57,5,37,55,40,33,26,49,31,18,61,23,47,48,32,0,50,43,36,64,53,58,67,62,47,59,15
19,30,21,63,6,38,56,33,30,22,45,37,21,58,21,45,43,36,0,55,45,35,66,50,62,69,64,45,60,14
21,21,20,63,9,38,51,39,34,23,44,34,23,56,22,52,48,33,0,54,42,33,69,48,59,66,65,44,65,13
23,23,17,64,8,42,53,33,35,23,40,36,17,59,21,49,46,38,0,58,45,41,67,44,59,67,63,48,58,12
20,26,21,63,6,42,55,36,32,21,49,35,18,62,22,51,45,30,0,49,48,30,67,54,58,70,57,46,58,18
23,22,24,63,7,41,57,34,35,28,45,34,18,59,19,50,44,34,0,55,43,37,64,51,57,67,63,43,60,12
26,23,18,64,8,39,54,35,35,23,43,36,20,54,23,53,40,37,0,55,52,34,66,49,57,70,65,43,57,10
26,26,17,60,9,38,56,38,30,25,41,33,21,62,23,49,41,33,0,51,51,37,67,45,59,70,63,45,59,14
27,25,17,66,5,35,54,35,36,24,42,38,24,62,20,52,47,36,0,48,47,34,66,49,58,68,61,49,52,12
14,27,21,58,10,39,53,39,35,22,48,39,20,63,22,53,44,34,0,48,44,32,69,52,53,69,64,46,58,13
28,25,18,68,7,37,53,33,29,26,43,36,23,63,25,49,44,35,0,55,49,36,63,47,53,64,60,48,59,13
20,21,20,60,9,38,47,31,34,22,43,35,27,62,20,53,46,41,0,53,51,33,67,51,58,68,61,50,54,14
20,22,20,61,9,36,57,39,32,23,45,31,21,59,21,55,42,37,0,54,46,32,70,51,55,68,60,41,67,15
24,19,17,62,9,37,55,36,31,24,43,32,22,57,23,57,39,35,0,50,51,40,65,45,63,68,61,46,63,15
18,26,19,60,9,39,52,34,33,28,44,36,23,62,20,51,43,35,0,47,49,38,68,41,59,69,66,46,60,14
22,28,26,62,9,35,51,35,28,28,45,36,23,61,20,57,40,36,0,52,51,31,67,50,57,64,63,41,58,13
20,25,24,64,8,39,54,35,31,26,49,38,19,59,15,51,40,34,0,54,49,38,66,47,56,69,61,45,59,14
22,21,17,61,6,39,55,34,32,29,43,36,23,62,22,52,43,35,0,49,44,35,71,49,60,71,63,44,56,15
25,18,20,61,6,38,57,34,35,23,42,32,27,58,23,56,39,34,0,53,53,37,63,49,57,69,61,44,63,12
23,24,18,65,11,37,51,31,36,30,44,37,16,59,25,52,48,38,0,48,47,31,65,49,58,71,61,41,64,9
20,22,20,57,7,41,53,36,38,28,43,34,25,60,23,51,40,35,0,48,51,33,69,49,56,67,63,46,61,13
25,24,22,61,7,38,52,34,35,22,45,35,18,62,19,49,46,38,0,54,51,37,64,45,59,70,57,45,62,13
20,23,16,63,7,36,56,37,26,31,44,37,21,57,23,51,43,38,0,54,46,38,64,49,61,66,60,49,56,17
22,25,15,58,6,43,52,40,31,31,38,39,20,60,29,49,42,31,0,54,44,33,66,52,58,71,59,48,61,12
19,23,22,62,7,37,56,37,35,20,49,32,21,60,22,51,41,32,0,53,44,33,68,50,56,67,65,52,59,16
20,25,22,61,10,36,53,33,32,26,48,34,23,60,25,54,40,36,0,48,42,34,68,50,62,68,66,46,57,10
20,27,15,61,8,41,54,34,27,26,40,38,24,62,23,54,46,38,0,55,50,29,66,49,57,69,57,45,60,14
20,22,17,67,7,37,55,35,34,23,44,38,20,60,17,50,45,37,0,53,47,39,66,53,57,64,65,43,61,13
22,23,18,62,6,45,55,35,34,24,45,27,20,58,18,51,49,36,0,48,53,35,66,50,56,68,62,50,58,15
23,23,22,63,6,41,52,35,30,22,43,37,17,59,26,50,44,33,0,51,49,40,66,47,58,71,61,46,61,13
26,24,22,63,9,34,56,35,36,22,48,35,18,59,24,51,41,35,0,52,49,36,64,46,56,64,62,50,61,11
21,24,22,63,7,42,56,32,35,23,47,33,19,62,24,53,44,37,0,54,48,37,66,49,61,64,55,41,57,13
25,24,21,62,9,32,53,33,33,24,41,37,19,54,21,50,44,39,0,52,47,38,69,51,59,69,64,45,60,14
23,24,22,61,8,36,54,42,31,21,50,35,21,59,21,52,42,34,0,46,46,35,69,51,60,66,62,45,62,11
24,21,17,64,9,40,50,36,27,23,49,37,24,65,26,52,41,32,0,52,45,35,64,48,60,66,64,46,61,11
21,26,15,63,10,39,59,34,34,18,40,30,27,64,28,44,40,33,0,52,49,39,65,49,58,69,60,46,62,15
