20,88,6,117
27,129,10,100
29,104,25,113
3,117,2,122
7,121,12,130
11,114,14,120
18,98,15,102
4,107,17,96
8,107,19,102
16,108,22,96
21,103,23,97
26,113,24,94
9,91,28,109
30,99,1,114
2,99,5,105
13,114,25,106
27,102,26,94
12,94,3,103
11,106,7,98
22,82,9,108
4,97,16,91
10,122,19,114
24,110,21,113
6,94,28,91
14,89,29,96
12,101,5,118
2,104,4,98
22,99,6,105
25,115,8,113
3,108,17,110
15,104,20,111
1,104,23,72
18,103,26,106
19,79,27,98
17,83,9,98
7,92,11,93
29,75,13,88
30,103,15,112
27,106,16,99
14,96,21,113
10,106,24,100
26,95,1,106
5,118,3,88
24,98,13,116
8,102,28,105
11,120,6,128
20,89,9,102
14,108,12,115
26,96,16,108
15,80,18,116
17,117,19,113
22,103,23,101
10,127,25,104
29,106,27,91
14,123,1,116
5,100,2,107
9,101,3,109
23,93,4,109
21,85,13,83
19,83,15,89
11,118,20,99
25,115,24,118
7,81,29,97
28,113,30,103
2,122,6,128
21,96,10,122
12,107,17,125
8,102,18,99
26,94,22,102
4,99,3,95
20,117,5,104
25,105,7,95
10,97,14,117
13,99,15,88
24,112,19,111
16,87,28,96
27,100,29,86
1,92,30,95
11,97,1,112
8,86,9,103
5,94,12,111
26,91,17,117
18,92,21,112
30,86,22,88
6,102,23,101
13,116,27,92
8,123,2,107
17,75,7,86
24,108,14,119
25,100,15,94
29,114,20,109
26,96,28,91
22,80,5,112
12,100,4,122
19,106,10,116
9,82,13,114
16,85,21,97
29,109,23,84
11,114,30,106
18,110,3,119
1,110,6,106
7,109,14,97
8,107,15,108
24,121,25,124
19,94,26,102
5,107,1,115
29,98,4,104
7,95,10,116
23,115,12,122
25,80,13,111
3,96,20,110
28,112,21,102
18,123,22,107
9,100,24,107
11,101,27,99
2,93,30,118
10,125,8,101
5,98,16,95
19,112,17,106
14,101,26,91
20,87,2,115
28,113,4,111
13,110,21,108
29,87,22,74
12,105,23,109
26,120,25,122
9,86,27,96
6,105,30,94
23,96,1,117
30,95,5,106
9,106,8,95
27,106,11,100
2,105,12,99
29,102,16,91
15,96,17,106
13,119,18,105
14,126,19,99
3,122,24,104
20,107,28,118
4,93,6,100
24,120,10,133
14,99,18,125
