date,date_start_time_et,away_team,away_pts,home_team,home_pts,box_score,OT,Notes
Sat Oct 21 2017,8:00 pm,Dallas Mavericks,,Houston Rockets,,,,
Sat Oct 21 2017,10:30 pm,Phoenix Suns,,Los Angeles Clippers,,,,
Sat Oct 21 2017,8:00 pm,Golden State Warriors,,Memphis Grizzlies,,,,
Sat Oct 21 2017,8:00 pm,Indiana Pacers,,Miami Heat,,,,
Sat Oct 21 2017,8:30 pm,Portland Trail Blazers,,Milwaukee Bucks,,,,
Sat Oct 21 2017,8:00 pm,Detroit Pistons,,New York Knicks,,,,
Sat Oct 21 2017,7:30 pm,Philadelphia 76ers,,Toronto Raptors,,,,
Sat Oct 21 2017,9:00 pm,Oklahoma City Thunder,,Utah Jazz,,,,
Sun Oct 22 2017,3:30 pm,Atlanta Hawks,,Brooklyn Nets,,,,
Sun Oct 22 2017,9:30 pm,New Orleans Pelicans,,Los Angeles Lakers,,,,
Sun Oct 22 2017,7:00 pm,Minnesota Timberwolves,,Oklahoma City Thunder,,,,
Mon Oct 23 2017,8:30 pm,Golden State Warriors,,Dallas Mavericks,,,,
Mon Oct 23 2017,9:00 pm,Washington Wizards,,Denver Nuggets,,,,
Mon Oct 23 2017,7:00 pm,Philadelphia 76ers,,Detroit Pistons,,,,
Mon Oct 23 2017,8:00 pm,Memphis Grizzlies,,Houston Rockets,,,,
Mon Oct 23 2017,7:30 pm,Atlanta Hawks,,Miami Heat,,,,
Mon Oct 23 2017,8:00 pm,Charlotte Hornets,,Milwaukee Bucks,,,,
Mon Oct 23 2017,10:00 pm,Sacramento Kings,,Phoenix Suns,,,,
Mon Oct 23 2017,8:30 pm,Toronto Raptors,,San Antonio Spurs,,,,
Tue Oct 24 2017,7:30 pm,New York Knicks,,Boston Celtics,,,,
Tue Oct 24 2017,7:00 pm,Chicago Bulls,,Cleveland Cavaliers,,,,
Tue Oct 24 2017,10:30 pm,Utah Jazz,,Los Angeles Clippers,,,,
Tue Oct 24 2017,8:00 pm,Indiana Pacers,,Minnesota Timberwolves,,,,
Tue Oct 24 2017,7:00 pm,Brooklyn Nets,,Orlando Magic,,,,
Tue Oct 24 2017,10:00 pm,New Orleans Pelicans,,Portland Trail Blazers,,,,
Wed Oct 25 2017,7:30 pm,Cleveland Cavaliers,,Brooklyn Nets,,,,
Wed Oct 25 2017,7:00 pm,Denver Nuggets,,Charlotte Hornets,,,,
Wed Oct 25 2017,8:30 pm,Memphis Grizzlies,,Dallas Mavericks,,,,
Wed Oct 25 2017,7:00 pm,Minnesota Timberwolves,,Detroit Pistons,,,,
Wed Oct 25 2017,10:30 pm,Toronto Raptors,,Golden State Warriors,,,,
Wed Oct 25 2017,10:30 pm,Washington Wizards,,Los Angeles Lakers,,,,
Wed Oct 25 2017,8:00 pm,San Antonio Spurs,,Miami Heat,,,,
Wed Oct 25 2017,8:00 pm,Indiana Pacers,,Oklahoma City Thunder,,,,
Wed Oct 25 2017,7:00 pm,Houston Rockets,,Philadelphia 76ers,,,,
Wed Oct 25 2017,10:00 pm,Utah Jazz,,Phoenix Suns,,,,
Thu Oct 26 2017,8:00 pm,Atlanta Hawks,,Chicago Bulls,,,,
Thu Oct 26 2017,8:00 pm,Dallas Mavericks,,Memphis Grizzlies,,,,
Thu Oct 26 2017,8:00 pm,Boston Celtics,,Milwaukee Bucks,,,,
Thu Oct 26 2017,10:00 pm,Los Angeles Clippers,,Portland Trail Blazers,,,,
Thu Oct 26 2017,10:30 pm,New Orleans Pelicans,,Sacramento Kings,,,,
Fri Oct 27 2017,7:30 pm,Denver Nuggets,,Atlanta Hawks,,,,
Fri Oct 27 2017,7:00 pm,Houston Rockets,,Charlotte Hornets,,,,
Fri Oct 27 2017,10:30 pm,Washington Wizards,,Golden State Warriors,,,,
Fri Oct 27 2017,10:30 pm,Toronto Raptors,,Los Angeles Lakers,,,,
Fri Oct 27 2017,8:00 pm,Oklahoma City Thunder,,Minnesota Timberwolves,,,,
Fri Oct 27 2017,7:30 pm,Brooklyn Nets,,New York Knicks,,,,
Fri Oct 27 2017,7:00 pm,San Antonio Spurs,,Orlando Magic,,,,
Wed Nov 1 2017,7:30 pm,Sacramento Kings,,Boston Celtics,,,,
Wed Nov 1 2017,7:00 pm,Milwaukee Bucks,,Charlotte Hornets,,,,
Wed Nov 1 2017,7:00 pm,Indiana Pacers,,Cleveland Cavaliers,,,,
Wed Nov 1 2017,9:00 pm,Toronto Raptors,,Denver Nuggets,,,,
Wed Nov 1 2017,10:30 pm,Dallas Mavericks,,Los Angeles Clippers,,,,
Wed Nov 1 2017,8:00 pm,Orlando Magic,,Memphis Grizzlies,,,,
Wed Nov 1 2017,7:30 pm,Chicago Bulls,,Miami Heat,,,,
Wed Nov 1 2017,8:00 pm,Minnesota Timberwolves,,New Orleans Pelicans,,,,
Wed Nov 1 2017,8:00 pm,Houston Rockets,,New York Knicks,,,,
Wed Nov 1 2017,7:00 pm,Atlanta Hawks,,Philadelphia 76ers,,,,
Wed Nov 1 2017,9:00 pm,Portland Trail Blazers,,Utah Jazz,,,,
Wed Nov 1 2017,7:00 pm,Phoenix Suns,,Washington Wizards,,,,
Thu Nov 2 2017,10:30 pm,Los Angeles Lakers,,Portland Trail Blazers,,,,
Thu Nov 2 2017,8:00 pm,Golden State Warriors,,San Antonio Spurs,,,,
Fri Nov 3 2017,7:30 pm,Houston Rockets,,Atlanta Hawks,,,,
Fri Nov 3 2017,8:30 pm,New Orleans Pelicans,,Dallas Mavericks,,,,
Fri Nov 3 2017,9:00 pm,Miami Heat,,Denver Nuggets,,,,
Fri Nov 3 2017,7:00 pm,Milwaukee Bucks,,Detroit Pistons,,,,
Fri Nov 3 2017,10:30 pm,Brooklyn Nets,,Los Angeles Lakers,,,,
Fri Nov 3 2017,7:30 pm,Phoenix Suns,,New York Knicks,,,,
Fri Nov 3 2017,9:30 pm,Boston Celtics,,Oklahoma City Thunder,,,,
Fri Nov 3 2017,7:00 pm,Chicago Bulls,,Orlando Magic,,,,
Fri Nov 3 2017,7:00 pm,Indiana Pacers,,Philadelphia 76ers,,,,
Fri Nov 3 2017,8:30 pm,Charlotte Hornets,,San Antonio Spurs,,,,
Fri Nov 3 2017,9:00 pm,Toronto Raptors,,Utah Jazz,,,,
Fri Nov 3 2017,7:00 pm,Cleveland Cavaliers,,Washington Wizards,,,,
Sat Nov 4 2017,8:00 pm,New Orleans Pelicans,,Chicago Bulls,,,,
Sat Nov 4 2017,9:00 pm,Golden State Warriors,,Denver Nuggets,,,,
Sat Nov 4 2017,7:00 pm,Sacramento Kings,,Detroit Pistons,,,,
Sat Nov 4 2017,3:30 pm,Memphis Grizzlies,,Los Angeles Clippers,,,,
Sat Nov 4 2017,8:00 pm,Dallas Mavericks,,Minnesota Timberwolves,,,,
Sun Nov 5 2017,3:00 pm,Atlanta Hawks,,Cleveland Cavaliers,,,,
Sun Nov 5 2017,7:00 pm,Utah Jazz,,Houston Rockets,,,,
Sun Nov 5 2017,3:30 pm,Miami Heat,,Los Angeles Clippers,,,,
Sun Nov 5 2017,9:30 pm,Memphis Grizzlies,,Los Angeles Lakers,,,,
Sun Nov 5 2017,8:00 pm,Charlotte Hornets,,Minnesota Timberwolves,,,,
Sun Nov 5 2017,7:30 pm,Indiana Pacers,,New York Knicks,,,,
Sun Nov 5 2017,6:00 pm,Boston Celtics,,Orlando Magic,,,,
Sun Nov 5 2017,9:00 pm,Oklahoma City Thunder,,Portland Trail Blazers,,,,
